ranking,Flight_date,airline_code,airline_name,avg_arr_delay
1,2010-01-01,CO,Continental Air Lines Inc.,27.9286
2,2010-01-01,B6,JetBlue Airways,17.5000
3,2010-01-01,OO,SkyWest Airlines Inc.,14.5636
4,2010-01-01,AS,Alaska Airlines Inc.,10.6923
5,2010-01-01,MQ,Envoy Air,10.0000
6,2010-01-01,9E,Endeavor Air Inc.,9.9643
7,2010-01-01,F9,Frontier Airlines Inc.,5.7500
8,2010-01-01,YV,Mesa Airlines Inc.,1.3000
9,2010-01-01,FL,AirTran Airways Corporation,1.0769
10,2010-01-01,HA,Hawaiian Airlines Inc.,1.0000
11,2010-01-01,XE,ExpressJet Airlines Inc. (1),-0.4194
12,2010-01-01,AA,American Airlines Inc.,-1.0339
13,2010-01-01,OH,Comair Inc.,-2.0000
14,2010-01-01,WN,Southwest Airlines Co.,-2.4615
15,2010-01-01,US,US Airways Inc.,-3.5000
16,2010-01-01,DL,Delta Air Lines Inc.,-6.1695
17,2010-01-01,UA,United Air Lines Inc.,-9.3333
18,2010-01-01,EV,ExpressJet Airlines Inc.,-10.1538
1,2010-01-02,B6,JetBlue Airways,58.8333
2,2010-01-02,XE,ExpressJet Airlines Inc. (1),27.3824
3,2010-01-02,WN,Southwest Airlines Co.,16.9375
4,2010-01-02,OO,SkyWest Airlines Inc.,16.6379
5,2010-01-02,YV,Mesa Airlines Inc.,16.3333
6,2010-01-02,CO,Continental Air Lines Inc.,11.7692
7,2010-01-02,OH,Comair Inc.,10.5333
8,2010-01-02,FL,AirTran Airways Corporation,8.3462
9,2010-01-02,US,US Airways Inc.,8.0256
10,2010-01-02,AA,American Airlines Inc.,7.0500
11,2010-01-02,MQ,Envoy Air,5.4545
12,2010-01-02,9E,Endeavor Air Inc.,5.2000
13,2010-01-02,DL,Delta Air Lines Inc.,4.3718
14,2010-01-02,F9,Frontier Airlines Inc.,3.1429
15,2010-01-02,UA,United Air Lines Inc.,-0.8974
16,2010-01-02,HA,Hawaiian Airlines Inc.,-2.0000
17,2010-01-02,EV,ExpressJet Airlines Inc.,-4.0385
18,2010-01-02,AS,Alaska Airlines Inc.,-5.3846
1,2010-01-03,B6,JetBlue Airways,88.1600
2,2010-01-03,CO,Continental Air Lines Inc.,56.7000
3,2010-01-03,OH,Comair Inc.,56.6250
4,2010-01-03,XE,ExpressJet Airlines Inc. (1),34.5750
5,2010-01-03,YV,Mesa Airlines Inc.,33.3750
6,2010-01-03,FL,AirTran Airways Corporation,28.3929
7,2010-01-03,MQ,Envoy Air,20.1224
8,2010-01-03,EV,ExpressJet Airlines Inc.,17.7037
9,2010-01-03,9E,Endeavor Air Inc.,15.6571
10,2010-01-03,AA,American Airlines Inc.,15.0556
11,2010-01-03,DL,Delta Air Lines Inc.,14.3218
12,2010-01-03,WN,Southwest Airlines Co.,11.2857
13,2010-01-03,US,US Airways Inc.,10.0698
14,2010-01-03,HA,Hawaiian Airlines Inc.,7.2222
15,2010-01-03,F9,Frontier Airlines Inc.,5.5000
16,2010-01-03,OO,SkyWest Airlines Inc.,5.4304
17,2010-01-03,UA,United Air Lines Inc.,2.2889
18,2010-01-03,AS,Alaska Airlines Inc.,-6.3571
1,2010-01-04,OO,SkyWest Airlines Inc.,20.8966
2,2010-01-04,MQ,Envoy Air,18.4783
3,2010-01-04,FL,AirTran Airways Corporation,17.6786
4,2010-01-04,CO,Continental Air Lines Inc.,16.6667
5,2010-01-04,XE,ExpressJet Airlines Inc. (1),15.3171
6,2010-01-04,WN,Southwest Airlines Co.,11.6063
7,2010-01-04,B6,JetBlue Airways,10.2083
8,2010-01-04,YV,Mesa Airlines Inc.,7.0000
9,2010-01-04,9E,Endeavor Air Inc.,6.5882
10,2010-01-04,DL,Delta Air Lines Inc.,5.4247
11,2010-01-04,F9,Frontier Airlines Inc.,3.1111
12,2010-01-04,US,US Airways Inc.,2.5745
13,2010-01-04,OH,Comair Inc.,0.8235
14,2010-01-04,AA,American Airlines Inc.,0.5902
15,2010-01-04,HA,Hawaiian Airlines Inc.,-0.1000
16,2010-01-04,EV,ExpressJet Airlines Inc.,-0.2727
17,2010-01-04,AS,Alaska Airlines Inc.,-5.2000
18,2010-01-04,UA,United Air Lines Inc.,-8.1579
1,2010-01-05,YV,Mesa Airlines Inc.,18.5556
2,2010-01-05,9E,Endeavor Air Inc.,9.8214
3,2010-01-05,XE,ExpressJet Airlines Inc. (1),9.7059
4,2010-01-05,MQ,Envoy Air,9.5714
5,2010-01-05,EV,ExpressJet Airlines Inc.,9.1724
6,2010-01-05,WN,Southwest Airlines Co.,9.1429
7,2010-01-05,AA,American Airlines Inc.,6.8475
8,2010-01-05,HA,Hawaiian Airlines Inc.,3.8571
9,2010-01-05,OO,SkyWest Airlines Inc.,3.7800
10,2010-01-05,F9,Frontier Airlines Inc.,3.2222
11,2010-01-05,CO,Continental Air Lines Inc.,3.0800
12,2010-01-05,US,US Airways Inc.,0.4884
13,2010-01-05,OH,Comair Inc.,0.1429
14,2010-01-05,DL,Delta Air Lines Inc.,-2.1867
15,2010-01-05,UA,United Air Lines Inc.,-4.9333
16,2010-01-05,FL,AirTran Airways Corporation,-5.1600
17,2010-01-05,B6,JetBlue Airways,-7.5263
18,2010-01-05,AS,Alaska Airlines Inc.,-8.6429
1,2010-01-06,F9,Frontier Airlines Inc.,17.5000
2,2010-01-06,OO,SkyWest Airlines Inc.,11.7826
3,2010-01-06,OH,Comair Inc.,9.1333
4,2010-01-06,9E,Endeavor Air Inc.,8.7838
5,2010-01-06,XE,ExpressJet Airlines Inc. (1),8.0571
6,2010-01-06,MQ,Envoy Air,5.8654
7,2010-01-06,WN,Southwest Airlines Co.,4.1339
8,2010-01-06,UA,United Air Lines Inc.,3.8387
9,2010-01-06,AA,American Airlines Inc.,0.8462
10,2010-01-06,HA,Hawaiian Airlines Inc.,0.4444
11,2010-01-06,US,US Airways Inc.,0.1915
12,2010-01-06,CO,Continental Air Lines Inc.,-0.9600
13,2010-01-06,AS,Alaska Airlines Inc.,-1.5714
14,2010-01-06,YV,Mesa Airlines Inc.,-1.5938
15,2010-01-06,EV,ExpressJet Airlines Inc.,-2.6750
16,2010-01-06,DL,Delta Air Lines Inc.,-3.5455
17,2010-01-06,FL,AirTran Airways Corporation,-4.1250
18,2010-01-06,B6,JetBlue Airways,-9.6667
1,2010-01-07,MQ,Envoy Air,44.0435
2,2010-01-07,9E,Endeavor Air Inc.,31.8621
3,2010-01-07,AA,American Airlines Inc.,16.6250
4,2010-01-07,DL,Delta Air Lines Inc.,15.5890
5,2010-01-07,OH,Comair Inc.,11.4375
6,2010-01-07,OO,SkyWest Airlines Inc.,10.8971
7,2010-01-07,WN,Southwest Airlines Co.,9.8189
8,2010-01-07,FL,AirTran Airways Corporation,9.5769
9,2010-01-07,XE,ExpressJet Airlines Inc. (1),7.2250
10,2010-01-07,F9,Frontier Airlines Inc.,6.4444
11,2010-01-07,CO,Continental Air Lines Inc.,4.8889
12,2010-01-07,HA,Hawaiian Airlines Inc.,0.5000
13,2010-01-07,YV,Mesa Airlines Inc.,0.1538
14,2010-01-07,AS,Alaska Airlines Inc.,-0.3571
15,2010-01-07,US,US Airways Inc.,-0.4565
16,2010-01-07,EV,ExpressJet Airlines Inc.,-2.3125
17,2010-01-07,B6,JetBlue Airways,-6.1905
18,2010-01-07,UA,United Air Lines Inc.,-7.6452
1,2010-01-08,9E,Endeavor Air Inc.,46.9697
2,2010-01-08,EV,ExpressJet Airlines Inc.,45.8286
3,2010-01-08,OH,Comair Inc.,24.4667
4,2010-01-08,XE,ExpressJet Airlines Inc. (1),16.5897
5,2010-01-08,FL,AirTran Airways Corporation,15.0741
6,2010-01-08,MQ,Envoy Air,14.4792
7,2010-01-08,OO,SkyWest Airlines Inc.,14.0000
8,2010-01-08,B6,JetBlue Airways,12.6818
9,2010-01-08,YV,Mesa Airlines Inc.,12.3000
10,2010-01-08,DL,Delta Air Lines Inc.,11.6500
11,2010-01-08,F9,Frontier Airlines Inc.,11.2222
12,2010-01-08,AA,American Airlines Inc.,8.9692
13,2010-01-08,WN,Southwest Airlines Co.,3.9606
14,2010-01-08,CO,Continental Air Lines Inc.,3.8929
15,2010-01-08,HA,Hawaiian Airlines Inc.,2.5000
16,2010-01-08,US,US Airways Inc.,0.8723
17,2010-01-08,AS,Alaska Airlines Inc.,0.5000
18,2010-01-08,UA,United Air Lines Inc.,-6.6818
1,2010-01-09,YV,Mesa Airlines Inc.,28.0370
2,2010-01-09,AA,American Airlines Inc.,21.8113
3,2010-01-09,F9,Frontier Airlines Inc.,12.1429
4,2010-01-09,HA,Hawaiian Airlines Inc.,3.9091
5,2010-01-09,AS,Alaska Airlines Inc.,1.3333
6,2010-01-09,XE,ExpressJet Airlines Inc. (1),0.8750
7,2010-01-09,CO,Continental Air Lines Inc.,0.7619
8,2010-01-09,9E,Endeavor Air Inc.,-0.5625
9,2010-01-09,WN,Southwest Airlines Co.,-1.6458
10,2010-01-09,US,US Airways Inc.,-1.7222
11,2010-01-09,OO,SkyWest Airlines Inc.,-4.9000
12,2010-01-09,DL,Delta Air Lines Inc.,-5.0455
13,2010-01-09,FL,AirTran Airways Corporation,-6.2400
14,2010-01-09,B6,JetBlue Airways,-6.7895
15,2010-01-09,MQ,Envoy Air,-6.9024
16,2010-01-09,EV,ExpressJet Airlines Inc.,-8.0000
17,2010-01-09,OH,Comair Inc.,-11.9000
18,2010-01-09,UA,United Air Lines Inc.,-14.9231
1,2010-01-10,XE,ExpressJet Airlines Inc. (1),34.7941
2,2010-01-10,MQ,Envoy Air,27.3846
3,2010-01-10,B6,JetBlue Airways,14.5909
4,2010-01-10,OO,SkyWest Airlines Inc.,7.3115
5,2010-01-10,AA,American Airlines Inc.,5.9672
6,2010-01-10,EV,ExpressJet Airlines Inc.,5.8438
7,2010-01-10,HA,Hawaiian Airlines Inc.,2.5000
8,2010-01-10,F9,Frontier Airlines Inc.,2.2500
9,2010-01-10,FL,AirTran Airways Corporation,1.8889
10,2010-01-10,CO,Continental Air Lines Inc.,0.1667
11,2010-01-10,WN,Southwest Airlines Co.,-4.4766
12,2010-01-10,AS,Alaska Airlines Inc.,-5.8571
13,2010-01-10,YV,Mesa Airlines Inc.,-6.6800
14,2010-01-10,9E,Endeavor Air Inc.,-7.2857
15,2010-01-10,DL,Delta Air Lines Inc.,-7.4286
16,2010-01-10,US,US Airways Inc.,-9.2326
17,2010-01-10,OH,Comair Inc.,-11.7143
18,2010-01-10,UA,United Air Lines Inc.,-12.1176
1,2010-01-11,MQ,Envoy Air,5.1964
2,2010-01-11,EV,ExpressJet Airlines Inc.,4.6744
3,2010-01-11,HA,Hawaiian Airlines Inc.,4.6667
4,2010-01-11,9E,Endeavor Air Inc.,3.7200
5,2010-01-11,OH,Comair Inc.,0.8125
6,2010-01-11,DL,Delta Air Lines Inc.,-0.0270
7,2010-01-11,OO,SkyWest Airlines Inc.,-0.5079
8,2010-01-11,B6,JetBlue Airways,-1.2857
9,2010-01-11,FL,AirTran Airways Corporation,-1.8462
10,2010-01-11,AS,Alaska Airlines Inc.,-2.1429
11,2010-01-11,YV,Mesa Airlines Inc.,-2.6500
12,2010-01-11,XE,ExpressJet Airlines Inc. (1),-3.6410
13,2010-01-11,F9,Frontier Airlines Inc.,-3.6667
14,2010-01-11,WN,Southwest Airlines Co.,-3.7440
15,2010-01-11,UA,United Air Lines Inc.,-3.9394
16,2010-01-11,US,US Airways Inc.,-4.7273
17,2010-01-11,AA,American Airlines Inc.,-6.7321
18,2010-01-11,CO,Continental Air Lines Inc.,-7.0000
1,2010-01-12,HA,Hawaiian Airlines Inc.,6.8333
2,2010-01-12,9E,Endeavor Air Inc.,3.2400
3,2010-01-12,OO,SkyWest Airlines Inc.,1.7581
4,2010-01-12,MQ,Envoy Air,1.3333
5,2010-01-12,OH,Comair Inc.,0.7333
6,2010-01-12,US,US Airways Inc.,0.1860
7,2010-01-12,XE,ExpressJet Airlines Inc. (1),-0.1471
8,2010-01-12,WN,Southwest Airlines Co.,-1.3760
9,2010-01-12,FL,AirTran Airways Corporation,-1.6087
10,2010-01-12,EV,ExpressJet Airlines Inc.,-5.6923
11,2010-01-12,DL,Delta Air Lines Inc.,-6.5441
12,2010-01-12,AA,American Airlines Inc.,-6.8200
13,2010-01-12,YV,Mesa Airlines Inc.,-7.3333
14,2010-01-12,B6,JetBlue Airways,-7.6000
15,2010-01-12,CO,Continental Air Lines Inc.,-8.4583
16,2010-01-12,AS,Alaska Airlines Inc.,-9.9231
17,2010-01-12,UA,United Air Lines Inc.,-10.5556
18,2010-01-12,F9,Frontier Airlines Inc.,-16.0000
1,2010-01-13,HA,Hawaiian Airlines Inc.,10.5000
2,2010-01-13,9E,Endeavor Air Inc.,-2.4688
3,2010-01-13,OO,SkyWest Airlines Inc.,-3.0179
4,2010-01-13,FL,AirTran Airways Corporation,-5.0833
5,2010-01-13,B6,JetBlue Airways,-5.7000
6,2010-01-13,XE,ExpressJet Airlines Inc. (1),-6.2000
7,2010-01-13,UA,United Air Lines Inc.,-6.4516
8,2010-01-13,DL,Delta Air Lines Inc.,-7.1143
9,2010-01-13,AA,American Airlines Inc.,-7.2540
10,2010-01-13,AS,Alaska Airlines Inc.,-7.2857
11,2010-01-13,WN,Southwest Airlines Co.,-7.2880
12,2010-01-13,MQ,Envoy Air,-7.3922
13,2010-01-13,EV,ExpressJet Airlines Inc.,-7.6970
14,2010-01-13,CO,Continental Air Lines Inc.,-7.7600
15,2010-01-13,US,US Airways Inc.,-9.5435
16,2010-01-13,YV,Mesa Airlines Inc.,-10.9000
17,2010-01-13,F9,Frontier Airlines Inc.,-14.8889
18,2010-01-13,OH,Comair Inc.,-17.6429
1,2010-01-14,AS,Alaska Airlines Inc.,14.6429
2,2010-01-14,HA,Hawaiian Airlines Inc.,-0.3333
3,2010-01-14,OO,SkyWest Airlines Inc.,-0.7692
4,2010-01-14,FL,AirTran Airways Corporation,-2.1154
5,2010-01-14,MQ,Envoy Air,-3.4773
6,2010-01-14,AA,American Airlines Inc.,-3.6104
7,2010-01-14,9E,Endeavor Air Inc.,-4.5385
8,2010-01-14,YV,Mesa Airlines Inc.,-4.7407
9,2010-01-14,XE,ExpressJet Airlines Inc. (1),-5.1750
10,2010-01-14,UA,United Air Lines Inc.,-5.4865
11,2010-01-14,US,US Airways Inc.,-5.7021
12,2010-01-14,EV,ExpressJet Airlines Inc.,-5.8056
13,2010-01-14,WN,Southwest Airlines Co.,-6.4032
14,2010-01-14,OH,Comair Inc.,-6.8750
15,2010-01-14,DL,Delta Air Lines Inc.,-6.9740
16,2010-01-14,B6,JetBlue Airways,-8.1429
17,2010-01-14,CO,Continental Air Lines Inc.,-9.4074
18,2010-01-14,F9,Frontier Airlines Inc.,-9.8750
1,2010-01-15,OO,SkyWest Airlines Inc.,6.7500
2,2010-01-15,XE,ExpressJet Airlines Inc. (1),6.4500
3,2010-01-15,9E,Endeavor Air Inc.,2.8000
4,2010-01-15,MQ,Envoy Air,2.4800
5,2010-01-15,AS,Alaska Airlines Inc.,0.8571
6,2010-01-15,HA,Hawaiian Airlines Inc.,0.6667
7,2010-01-15,YV,Mesa Airlines Inc.,-1.4231
8,2010-01-15,F9,Frontier Airlines Inc.,-2.8889
9,2010-01-15,WN,Southwest Airlines Co.,-3.4080
10,2010-01-15,CO,Continental Air Lines Inc.,-3.8519
11,2010-01-15,DL,Delta Air Lines Inc.,-3.8902
12,2010-01-15,AA,American Airlines Inc.,-5.1017
13,2010-01-15,US,US Airways Inc.,-5.6809
14,2010-01-15,FL,AirTran Airways Corporation,-6.7407
15,2010-01-15,EV,ExpressJet Airlines Inc.,-9.4737
16,2010-01-15,UA,United Air Lines Inc.,-9.7750
17,2010-01-15,B6,JetBlue Airways,-14.8182
18,2010-01-15,OH,Comair Inc.,-19.9333
